Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,grandis,11.9,NA,NA,"Fye, R.E., Patana, R. and McAda, W.C.",1969,Developmental periods for boll weevils reared at several constant and fluctuating temperatures.,Journal of Economic Entomology,"Yuma, Arizona",-114.629247,32.600333,1,82,21.6,9.7,NA,NA,3,,,,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,grandis,13.04,8.59,14.2,"Watson, T. F., D. Bergman, et al.",1986,Effect of temperature and food on developmental time of the boll weevil in Arizona.,Southwestern Entomologist,"Yuma, Arizona",-114.629247,32.600333,1,83,21.6,8.56,13.01,7.4,3,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,5.8,NA,NA,"Bernal J., Gonzalez D.",1993,Temperature requirements of  four parasites of the Russian  wheat aphid Diuraphis noxia.,Entomologia Experimentalis et Applicata,"France, south",2.213749,46.227638,1,584,10.8,5,NA,NA,2,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,7.5,NA,NA,"Bernal J., Gonzalez D.",1993,Temperature requirements of  four parasites of the Russian  wheat aphid Diuraphis noxia.,Entomologia Experimentalis et Applicata,"Chile, west",-71.542969,-35.675147,1,585,14.8,7.3,NA,NA,2,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,6.4,NA,NA,"Bernal, J. and D. Gonzalez",1993,Temperature requirements of four parasites of the Russian wheat aphid Diuraphis noxia,Entomologia Experimentalis et Applicata,"Chile, west",-71.542969,-35.675147,1,586,14.8,8.4,NA,NA,2,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,7.1,NA,NA,"Bernal, J. and D. Gonzalez",1993,Temperature requirements of four parasites of the Russian wheat aphid Diuraphis noxia,Entomologia Experimentalis et Applicata,"France, south",2.213749,46.227638,1,587,10.8,3.7,NA,NA,2,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,8.2,9.9,NA,"Lee, J., N. C. Elliott, et al.",1998, Comparison of developmental responses to temperature in Aphelinus asychis (Walker) from two different geographic regions,Southwestern Entomologist,"Pingluo, China",106.547045,38.878895,2,589,15.5,7.3,5.6,NA,2,,,,
Aphelinus asychis,Hymenoptera,Aphelinidae,Aphelinus,asychis,9.3,9,NA,"Lee, J., N. C. Elliott, et al.",1998, Comparison of developmental responses to temperature in Aphelinus asychis (Walker) from two different geographic regions,Southwestern Entomologist,"Pingluo, China",106.547045,38.878895,2,589,15.5,6.2,6.5,NA,2,,,,
Aphidius colemani,Hymenoptera,Braconidae,Aphidius,colemani,1.5,NA,NA,Steenis M.J. van,1993,"Intrinsic rate of increase of Aphidius colemani Vier. (Hym., Braconidae), a parasitoid of Aphis gossypii Glov.. (Hom., Aphididae), at different temperatures.",Journal of Applied Entomology,"Koppert Biological Systems Nederland, Veilingweg, Berkel en Rodenrijs, Netherlands",4.458252,51.97917,1,628,6,4.5,NA,NA,1,,,,
Aphidius colemani,Hymenoptera,Braconidae,Aphidius,colemani,4,NA,NA,Steenis M.J. van,1993,"Intrinsic rate of increase of Aphidius colemani Vier. (Hym., Braconidae), a parasitoid of Aphis gossypii Glov.. (Hom., Aphididae), at different temperatures.",Journal of Applied Entomology,"Koppert Biological Systems Nederland, Veilingweg, Berkel en Rodenrijs, Netherlands",4.458252,51.97917,1,628,6,2,NA,NA,1,,,,
Aphidius colemani,Hymenoptera,Braconidae,Aphidius,colemani,2.19,NA,NA,"Sampaio, M. V., V. H. P. Bueno, et al.",2003,Thermal requirements of three populations of Aphidius colemani Viereck (Hym.: Aphidiidae),"Proceedings of the IOBC\WPRS Working Group 'Integrated Control in Protected Crops, Mediterranean Climate', Agadir, Morocco, 30 November 4th December, 2003. Bulletin OILB SROP","Lavras, State of Minas Gerais, Brazil",NA,NA,1,625,18.9,16.71,NA,NA,2,,,,
Aphidius colemani,Hymenoptera,Braconidae,Aphidius,colemani,2.36,NA,NA,"Sampaio, M. V., V. H. P. Bueno, et al.",2003,Thermal requirements of three populations of Aphidius colemani Viereck (Hym.: Aphidiidae),"Proc. of the IOBC\WPRS Working Group 'Integrated Control in Protected Crops, Mediterranean Climate', Agadir, Morocco, 30 Nov.-4th Dec., 2003. Bulletin OILB SROP","Sao Gotardo, State of Minas Gerais, Brazil",NA,NA,1,626,18.9,16.54,NA,NA,2,,,,
Aphidius colemani,Hymenoptera,Braconidae,Aphidius,colemani,4.3,NA,NA,"Sampaio, M. V., V. H. P. Bueno, et al.",2003,Thermal requirements of three populations of Aphidius colemani Viereck (Hym.: Aphidiidae),"Proceedings of the IOBC\WPRS Working Group 'Integrated Control in Protected Crops, Mediterranean Climate', Agadir, Morocco, 30 November 4th December, 2003. Bulletin OILB SROP","Juramento, State of Minas Gerais, Brazil",NA,NA,1,627,18.9,14.6,NA,NA,2,,,,
Aphidius matricariae,Hymenoptera,Braconidae,Aphidius,matricariae,4.5,NA,NA,"Miller, J. C. and W. J. Gerth",1994,"Temperature-dependent development of Aphidius matricariae (Hymenoptera: Aphidiidae), as a parasitoid of the Russian wheat aphid",Environmental Entomology,Czechoslovakia,14.44087,50.062857,3,637,8.8,4.3,NA,NA,2,,,,
Aphidius matricariae,Hymenoptera,Braconidae,Aphidius,matricariae,5,NA,NA,"Miller, J. C. and W. J. Gerth",1994,"Temperature-dependent development of Aphidius matricariae (Hymenoptera: Aphidiidae), as a parasitoid of the Russian wheat aphid",Environmental Entomology,Czechoslovakia,14.44087,50.062857,3,637,8.8,3.8,NA,NA,2,,,,
Aphidius matricariae,Hymenoptera,Braconidae,Aphidius,matricariae,7.9,NA,NA,"Miller, J. C. and W. J. Gerth",1994,"Temperature-dependent development of Aphidius matricariae (Hymenoptera: Aphidiidae), as a parasitoid of the Russian wheat aphid",Environmental Entomology,Czechoslovakia,14.44087,50.062857,3,637,8.8,0.9,NA,NA,2,,,,
