Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.3,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.2,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.6,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.5,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.6,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.5,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.8,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.7,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.3,NA,NA,"Zwaan B.J., Bijlsma R., Hoekstra R.F.",1992,On the developmental theory of ageing. II. The effect of developmental temperature on longevity in relation to adult body size in D. melangaster.,Heredity,"Soestduinen, Netherlands",5.291266,52.132633,1,248,7.5,3.8,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.4,NA,NA,"Zwaan B.J., Bijlsma R., Hoekstra R.F.",1992,On the developmental theory of ageing. II. The effect of developmental temperature on longevity in relation to adult body size in D. melangaster.,Heredity,"Soestduinen, Netherlands",5.291266,52.132633,1,248,7.5,3.9,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.5,NA,NA,"Zwaan B.J., Bijlsma R., Hoekstra R.F.",1992,On the developmental theory of ageing. II. The effect of developmental temperature on longevity in relation to adult body size in D. melangaster.,Heredity,"Soestduinen, Netherlands",5.291266,52.132633,1,248,7.5,4,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.7,NA,NA,"Zwaan B.J., Bijlsma R., Hoekstra R.F.",1992,On the developmental theory of ageing. II. The effect of developmental temperature on longevity in relation to adult body size in D. melangaster.,Heredity,"Soestduinen, Netherlands",5.291266,52.132633,1,248,7.5,4.2,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.54,NA,NA,"Frazier, M.R., Woods, H.A. and Harrison, J.F.",2001,Interactive effects of rearing temperature and oxygen on the development of Drosophila melanogaster.,Physiol. Biochem. Zool.,"Oregon, USA",-95.1449753,39.9869407,1,241,10,0.46,NA,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.64,NA,NA,"Frazier, M.R., Woods, H.A. and Harrison, J.F.",2001,Interactive effects of rearing temperature and oxygen on the development of Drosophila melanogaster.,Physiol. Biochem. Zool.,"Oregon, USA",-95.1449753,39.9869407,1,241,10,0.36,NA,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,10.5,10.4,NA,Bell C.H.,1975,Effects of temperature and humidity on development of  four pyralid moth pests of stored products.,Journal of Stored Products Research,"Southampton, United Kingdom",-1.402898,50.90699,1,959,9.2,1.3,1.2,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,10.9,10.2,NA,Bell C.H.,1975,Effects of temperature and humidity on development of  four pyralid moth pests of stored products.,Journal of Stored Products Research,"Southampton, United Kingdom",-1.402898,50.90699,1,959,9.2,1.7,1,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7.3,9.5,6.3,"Jacob T.A., Cox P.D.",1977,The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).,Journal of Stored Products Research,Southern England,-1.450389,51.141373,3,960,9.2,1.9,0.3,2.9,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.4,10.1,9.3,"Jacob T.A., Cox P.D.",1977,The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).,Journal of Stored Products Research,Southern England,-1.450389,51.141373,3,960,9.2,0.2,0.9,0.1,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7,NA,6.7,"Danthanarayana, W.",1975,"The bionomics, distribution and host range of the light brown apple moth, Epiphyas postvittana (Walk.) (Tortricidae). ",Australian Journal of Zoology,"Bundoora, Victoria, Australia",145.063977,-37.696708,1,997,14.2,7.2,NA,7.5,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7.5,NA,7.1,"Danthanarayana, W.",1975,"The bionomics, distribution and host range of the light brown apple moth, Epiphyas postvittana (Walk.) (Tortricidae). ",Australian Journal of Zoology,"Bundoora, Victoria, Australia",145.063977,-37.696708,1,997,14.2,6.7,NA,7.1,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7.6,NA,7.1,"Danthanarayana, W.",1975,"The bionomics, distribution and host range of the light brown apple moth, Epiphyas postvittana (Walk.) (Tortricidae). ",Australian Journal of Zoology,"Warrandyte, Victoria, Australia",145.201074,-37.739656,1,998,14.2,6.6,NA,7.1,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7.9,NA,8,"Danthanarayana, W.",1975,"The bionomics, distribution and host range of the light brown apple moth, Epiphyas postvittana (Walk.) (Tortricidae). ",Australian Journal of Zoology,"Warrandyte, Victoria, Australia",145.201074,-37.739656,1,998,14.2,6.3,NA,6.2,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,7.5,NA,NA,"Danthanarayana, W.",1975,"The bionomics, distribution and host range of the light brown apple moth, Epiphyas postvittana (Walk.) (Tortricidae).",Australian Journal of Zoology,"Bundoora, Victoria, Australia",145.063977,-37.696708,1,997,14.2,6.7,NA,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,8.9,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,18,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.4,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,17.5,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.5,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,17.4,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.7,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,17.2,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,10,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,16.9,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,10,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,16.9,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,12.4,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,14.5,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,12.5,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,14.4,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,12.6,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,14.3,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,13,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,13.9,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,13.1,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,13.8,NA,NA,3,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,13.1,NA,NA,"Delden W. van, Kamping A.",1991,Change in relative fitness with temperature among second chromosome arrangements in Drosophila melanogaster.,Genetics,Guinea,-12.2891314,11.3232042,2,240,26.9,13.8,NA,NA,3,,,,
Frankliniella occidentalis,Thysanoptera,Thripidae,Frankliniella,occidentalis,15.4,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.2,NA,NA,2,,,,
Frankliniella occidentalis,Thysanoptera,Thripidae,Frankliniella,occidentalis,15.7,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.5,NA,NA,2,,,,
Frankliniella occidentalis,Thysanoptera,Thripidae,Frankliniella,occidentalis,15.7,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.5,NA,NA,2,,,,
Frankliniella occidentalis,Thysanoptera,Thripidae,Frankliniella,occidentalis,16,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.8,NA,NA,2,,,,
Frankliniella occidentalis,Thysanoptera,Thripidae,Frankliniella,occidentalis,16,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.8,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,16,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.8,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,16,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.8,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,16,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.8,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,16.1,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,6.9,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,18,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,8.8,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,10.7,NA,NA,"Ntigo S.E.A., Nowosielski-Slepowron B.J.A.",1973,"Developmental period and mortality of Gnathocerus maxillosus (F.) (Coleoptera, Tenebrionidae) under  various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,2,163,9.2,1.5,NA,NA,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,2.5,4.5,4,Chaudhry G.U.,1955,"The development and fecundity of the oriental fruit moth, Grapholitha (Cydia) molesta (Busck) under controlled temperatures and humudities.",Bulletin of Entomological Research,"Benton Harbor, Michigan",-86.453794,42.115987,1,1001,8.7,6.2,4.2,4.7,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,2.5,3.3,4,Chaudhry G.U.,1955,"The development and fecundity of the oriental fruit moth, Grapholitha (Cydia) molesta (Busck) under controlled temperatures and humudities.",Bulletin of Entomological Research,"Benton Harbor, Michigan",-86.453794,42.115987,1,1001,8.7,6.2,5.4,4.7,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,3.4,4.8,4,Chaudhry G.U.,1955,"The development and fecundity of the oriental fruit moth, Grapholitha (Cydia) molesta (Busck) under controlled temperatures and humudities.",Bulletin of Entomological Research,"Benton Harbor, Michigan",-86.453794,42.115987,1,1001,8.7,5.3,3.9,4.7,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,5.5,3.4,7.3,Chaudhry G.U.,1955,"The development and fecundity of the oriental fruit moth, Grapholitha (Cydia) molesta (Busck) under controlled temperatures and humudities.",Bulletin of Entomological Research,"Benton Harbor, Michigan",-86.453794,42.115987,1,1001,8.7,3.2,5.3,1.4,2,,,,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,maxillosus,6.3,6,7.3,Chaudhry G.U.,1955,"The development and fecundity of the oriental fruit moth, Grapholitha (Cydia) molesta (Busck) under controlled temperatures and humudities.",Bulletin of Entomological Research,"Benton Harbor, Michigan",-86.453794,42.115987,1,1001,8.7,2.4,2.7,1.4,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,20.7,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,1,166,9.2,11.5,NA,NA,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,21.1,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,1,166,9.2,11.9,NA,NA,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,21.5,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Dookie, Victoria, Australia",145.715391,36.315681,1,167,14.2,7.3,NA,NA,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,21.6,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Dookie, Victoria, Australia",145.715391,36.315681,1,167,14.2,7.4,NA,NA,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,21.7,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Dookie, Victoria, Australia",145.715391,36.315681,1,167,14.2,7.5,NA,NA,2,,,,
Laodelphax striatellus,Homoptera,Delphacidae,Laodelphax,striatellus,21.9,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Dookie, Victoria, Australia",145.715391,36.315681,1,167,14.2,7.7,NA,NA,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,9.5,9.8,9,"Tauber C.A., Tauber M.J., Gollands B., Wright R.J., Obrycki  J.",1988,Preimaginal development and reproductive responses to temperature in two populations of the colorado potato beetle (Coleptera: Chrysomalidae).,Annals of the Entomological Society of America,"Freeville, New York",-76.348934,42.514405,1,126,6.7,2.8,3.1,2.3,1,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,11.4,11.6,10.5,"Walgenbach J.F., Wyman J.A.",1984,Colorado potato beetle (Coleoptera: Chrysomalidae) development in relation to temperature in Wisconsin.,Annals of the Entomological Society of America,"Hancock, Wisconsin",-89.522708,44.133096,1,128,6.8,4.6,4.8,3.7,1,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,9.8,10,11.2,"Logan, P.A., Casagrande, R.A., Faubert, H.H. and Drummond, F.A.",1985,Temperature-dependent Development and Feeding of Immature. Colorado Potato Beetles~Leptinotarsa decemlineata (Say). (Coleoptera: Chrysomelidae).,Environmental Entomology,"Kingston, Rhode Island",-71.4774291,41.5800945,1,125,8.6,1.2,1.4,2.6,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,9.8,8.4,10.5,"Tauber C.A., Tauber M.J., Gollands B., Wright R.J., Obrycki  J.",1988,Preimaginal development and reproductive responses to temperature in two populations of the colorado potato beetle (Coleptera: Chrysomalidae).,Annals of the Entomological Society of America,"Riverhead, New York",-72.650615,40.921058,1,127,8.8,1,0.4,1.7,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,5.7,-,5.7,"Liu, S., X. Meng, et al.",2000,Modelling development time of Lipaphis erysimi (Hemiptera: Aphididae) at constant and variable temperatures,Bulletin of Entomological Research,"Hangzhou, Zhejiang, China",120.07,30.256346,1,485,15.6,9.9,NA,9.9,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,6.4,-,6.4,"Liu, S., X. Meng, et al.",2000, Modelling development time of Lipaphis erysimi (Hemiptera: Aphididae) at constant and variable temperatures,Bulletin of Entomological Research,"Hangzhou, Zhejiang, China",120.07,30.256346,1,485,15.6,9.2,NA,9.2,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,5.69,NA,NA,"Liu, S.S. and Meng, X.D.",2000,Modelling development time of Lipaphis erysimi (Hemiptera: Aphididae) at constant and variable temperatures.,Bulletin of Entomological Research,"Hangzhou, Zhejiang, China",120.07,30.256346,1,486,15.6,9.91,NA,NA,2,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,22.2,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"kpeve, Volta Region, Ghana",0.333581,6.682552,1,168,26.4,4.2,NA,NA,3,,,,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,oryzae,22.5,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"kpeve, Volta Region, Ghana",0.333581,6.682552,1,168,26.4,3.9,NA,NA,3,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,4.2,NA,NA,Cannon R.J.C.,1984,The development rate of Metopolophium dirhodum (Walker) (Hemiptera: Aphididae) on winter wheat.,Bulletin of Entomological Research,"Bedford, United Kingdom",-0.468061,52.134767,NA,505,8.8,4.6,NA,NA,2,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,4.9,NA,NA,Cannon R.J.C.,1984,The development rate of Metopolophium dirhodum (Walker) (Hemiptera: Aphididae) on winter wheat.,Bulletin of Entomological Research,"Bedford, United Kingdom",-0.468061,52.134767,NA,505,8.8,3.9,NA,NA,2,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,11.6,12.1,12.3,"Benson E.P., Zungoli P.A., Smith L.E.",1994,"Comparison of developmental rates of two separate populations of Periplaneta fuliginosa (Dictyoptera: Blattidae) and equations describing development, preoviposition and oviposition.",Environmental Entomology,"Clemson, South Carolina",-82.81667,34.68333,1,1,15.5,3.9,3.4,3.2,2,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,11.7,12.5,11.5,"Benson E.P., Zungoli P.A., Smith L.E.",1994,"Comparison of developmental rates of two separate populations of Periplaneta fuliginosa (Dictyoptera: Blattidae) and equations describing development, preoviposition and oviposition.",Environmental Entomology,"Clemson, South Carolina",-82.81667,34.68333,1,1,15.5,3.8,3,4,2,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,11.9,5.4,12.5,"Benson E.P., Zungoli P.A., Smith L.E.",1994,"Comparison of developmental rates of two separate populations of Periplaneta fuliginosa (Dictyoptera: Blattidae) and equations describing development, preoviposition and oviposition.",Environmental Entomology,"Clemson, South Carolina",-82.81667,34.68333,1,1,15.5,3.6,10.1,3,2,,,,
Lysiphlebus testaceipes,Hymenoptera,Braconidae,Lysiphlebus,testaceipes,12,12.5,11.9,"Benson E.P., Zungoli P.A., Smith L.E.",1994,"Comparison of developmental rates of two separate populations of Periplaneta fuliginosa (Dictyoptera: Blattidae) and equations describing development, preoviposition and oviposition.",Environmental Entomology,"Charleston, South Carolina",-79.93333,32.78333,1,2,18.1,6.1,5.6,6.2,2,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,9.3,NA,10.8,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,2.8,NA,1.3,2,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,9.3,NA,10.7,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,2.8,NA,1.4,2,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,9.4,7.7,10.8,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,2.7,4.4,1.3,2,,,,
Spodoptera litura,Lepidoptera,Noctuidae,Spodoptera,litura,12.7,NA,12.6,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,0.6,NA,0.5,2,,,,
Spodoptera litura,Lepidoptera,Noctuidae,Spodoptera,litura,12.8,NA,13,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,0.7,NA,0.9,2,,,,
Spodoptera litura,Lepidoptera,Noctuidae,Spodoptera,litura,12.8,12.7,12.8,"Neal J.W., Douglass L.W.",1988,"Photoperiodic responses of the linden bug, Pyrrhocoris apterus, under conditions of constant temperature and under thermoperiodic conditions.",Environmental Entomology,"Beltsville, Maryland",-76.908874,39.032909,2,392,12.1,0.7,0.6,0.7,2,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,10.5,9.6,10.3,"Rao G.V.R., Wightman J.A., Rao D.V.R.",1989,Threshold temperatures and thermal requirements for the development of Spodoptera litura (Lepidoptera: Noctuidae),Environmental Entomology,"Patancheru, Hyderabad, India",NA,NA,2,908,31,20.5,21.4,20.7,3,,,,
Spodoptera littoralis,Lepidoptera,Noctuidae,Spodoptera,litoralis,11.2,10.4,11.5,"Rao G.V.R., Wightman J.A., Rao D.V.R.",1989,Threshold temperatures and thermal requirements for the development of Spodoptera litura (Lepidoptera: Noctuidae),Environmental Entomology,"Patancheru, Hyderabad, India",NA,NA,2,908,31,19.8,20.6,19.5,3,,,,
